;RaumeinheitSort;Raumeinheit;GliederungSort;Gliederung;Zimmer;GemeinnuetzigSort;GemeinnuetzigLang;EinheitSort;EinheitLang;mean;Grundgesamtheit;Sample1;Sample2
108;1;Ganze Stadt;0;Ganze Stadt;2;0;Alle Wohnungen;1;Wohnung;1584.0;46692;13545;1742
109;1;Ganze Stadt;1;Neubau bis 2 Jahre;2;0;Alle Wohnungen;1;Wohnung;2011.0;1498;488;56
110;1;Ganze Stadt;2;Neubezug bis 2 Jahre;2;0;Alle Wohnungen;1;Wohnung;1777.0;13182;3081;488
111;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;2;0;Alle Wohnungen;1;Wohnung;1609.0;20055;5922;764
112;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;2;0;Alle Wohnungen;1;Wohnung;1312.0;6782;2348;253
113;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;2;0;Alle Wohnungen;1;Wohnung;1226.0;5175;1706;181
114;1;Ganze Stadt;0;Ganze Stadt;3;0;Alle Wohnungen;1;Wohnung;1789.0;74180;23356;1908
115;1;Ganze Stadt;1;Neubau bis 2 Jahre;3;0;Alle Wohnungen;1;Wohnung;2518.0;1662;493;38
116;1;Ganze Stadt;2;Neubezug bis 2 Jahre;3;0;Alle Wohnungen;1;Wohnung;2020.0;16917;4325;434
117;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;3;0;Alle Wohnungen;1;Wohnung;1895.0;31466;9742;798
118;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;3;0;Alle Wohnungen;1;Wohnung;1535.0;12702;4652;352
119;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;3;0;Alle Wohnungen;1;Wohnung;1336.0;11433;4144;286
120;1;Ganze Stadt;0;Ganze Stadt;4;0;Alle Wohnungen;1;Wohnung;2185.0;40897;13851;1713
121;1;Ganze Stadt;1;Neubau bis 2 Jahre;4;0;Alle Wohnungen;1;Wohnung;2814.0;1149;448;33
122;1;Ganze Stadt;2;Neubezug bis 2 Jahre;4;0;Alle Wohnungen;1;Wohnung;2523.0;6985;1860;298
123;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;4;0;Alle Wohnungen;1;Wohnung;2331.0;16982;5610;696
124;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;4;0;Alle Wohnungen;1;Wohnung;1941.0;8605;3508;337
125;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;4;0;Alle Wohnungen;1;Wohnung;1701.0;7176;2425;349
126;1;Ganze Stadt;0;Ganze Stadt;2;1;Gemeinnützig;1;Wohnung;1055.0;11106;7184;492
127;1;Ganze Stadt;1;Neubau bis 2 Jahre;2;1;Gemeinnützig;1;Wohnung;1343.0;420;280;20
128;1;Ganze Stadt;2;Neubezug bis 2 Jahre;2;1;Gemeinnützig;1;Wohnung;1058.0;1924;1179;104
129;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;2;1;Gemeinnützig;1;Wohnung;1092.0;4894;3135;208
130;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;2;1;Gemeinnützig;1;Wohnung;993.0;2294;1554;107
131;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;2;1;Gemeinnützig;1;Wohnung;949.0;1574;1036;53
132;1;Ganze Stadt;0;Ganze Stadt;3;1;Gemeinnützig;1;Wohnung;1181.0;22955;14636;597
133;1;Ganze Stadt;1;Neubau bis 2 Jahre;3;1;Gemeinnützig;1;Wohnung;1545.0;607;360;12
134;1;Ganze Stadt;2;Neubezug bis 2 Jahre;3;1;Gemeinnützig;1;Wohnung;1173.0;3520;2211;74
135;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;3;1;Gemeinnützig;1;Wohnung;1236.0;9305;5907;260
136;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;3;1;Gemeinnützig;1;Wohnung;1150.0;4946;3249;151
137;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;3;1;Gemeinnützig;1;Wohnung;1058.0;4577;2909;100
138;1;Ganze Stadt;0;Ganze Stadt;4;1;Gemeinnützig;1;Wohnung;1517.0;14925;9288;606
139;1;Ganze Stadt;1;Neubau bis 2 Jahre;4;1;Gemeinnützig;1;Wohnung;1808.0;532;304;12
140;1;Ganze Stadt;2;Neubezug bis 2 Jahre;4;1;Gemeinnützig;1;Wohnung;1505.0;1567;944;47
141;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;4;1;Gemeinnützig;1;Wohnung;1603.0;6042;3712;239
142;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;4;1;Gemeinnützig;1;Wohnung;1494.0;3935;2610;149
143;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;4;1;Gemeinnützig;1;Wohnung;1319.0;2849;1718;159
144;1;Ganze Stadt;0;Ganze Stadt;2;2;Nicht gemeinnützig;1;Wohnung;1749.0;35586;6361;1250
145;1;Ganze Stadt;1;Neubau bis 2 Jahre;2;2;Nicht gemeinnützig;1;Wohnung;2272.0;1078;208;36
146;1;Ganze Stadt;2;Neubezug bis 2 Jahre;2;2;Nicht gemeinnützig;1;Wohnung;1900.0;11258;1902;384
147;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;2;2;Nicht gemeinnützig;1;Wohnung;1776.0;15161;2787;556
148;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;2;2;Nicht gemeinnützig;1;Wohnung;1475.0;4488;794;146
149;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;2;2;Nicht gemeinnützig;1;Wohnung;1347.0;3601;670;128
150;1;Ganze Stadt;0;Ganze Stadt;3;2;Nicht gemeinnützig;1;Wohnung;2062.0;51225;8720;1311
151;1;Ganze Stadt;1;Neubau bis 2 Jahre;3;2;Nicht gemeinnützig;1;Wohnung;3078.0;1055;133;26
152;1;Ganze Stadt;2;Neubezug bis 2 Jahre;3;2;Nicht gemeinnützig;1;Wohnung;2243.0;13397;2114;360
153;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;3;2;Nicht gemeinnützig;1;Wohnung;2171.0;22161;3835;538
154;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;3;2;Nicht gemeinnützig;1;Wohnung;1780.0;7756;1403;201
155;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;3;2;Nicht gemeinnützig;1;Wohnung;1521.0;6856;1235;186
156;1;Ganze Stadt;0;Ganze Stadt;4;2;Nicht gemeinnützig;1;Wohnung;2568.0;25972;4563;1107
157;1;Ganze Stadt;1;Neubau bis 2 Jahre;4;2;Nicht gemeinnützig;1;Wohnung;3682.0;617;144;21
158;1;Ganze Stadt;2;Neubezug bis 2 Jahre;4;2;Nicht gemeinnützig;1;Wohnung;2818.0;5418;916;251
159;1;Ganze Stadt;3;Bestand Mietverträge 2–10 Jahre;4;2;Nicht gemeinnützig;1;Wohnung;2733.0;10940;1898;457
160;1;Ganze Stadt;4;Bestand Mietverträge 11-20 Jahre;4;2;Nicht gemeinnützig;1;Wohnung;2319.0;4670;898;188
161;1;Ganze Stadt;5;Bestand Mietverträge über 20 Jahre;4;2;Nicht gemeinnützig;1;Wohnung;1952.0;4327;707;190
450;2;Stadtkreise;0;Ganze Stadt;2;0;Alle Wohnungen;1;Wohnung;1584.0;46692;13545;1742
451;2;Stadtkreise;10;Kreis 1;2;0;Alle Wohnungen;1;Wohnung;1904.0;1076;385;106
452;2;Stadtkreise;20;Kreis 2;2;0;Alle Wohnungen;1;Wohnung;1636.0;3720;995;156
453;2;Stadtkreise;30;Kreis 3;2;0;Alle Wohnungen;1;Wohnung;1482.0;6353;1711;182
454;2;Stadtkreise;40;Kreis 4;2;0;Alle Wohnungen;1;Wohnung;1603.0;4075;1367;217
455;2;Stadtkreise;50;Kreis 5;2;0;Alle Wohnungen;1;Wohnung;1748.0;1695;626;96
456;2;Stadtkreise;60;Kreis 6;2;0;Alle Wohnungen;1;Wohnung;1608.0;3254;678;107
457;2;Stadtkreise;70;Kreis 7;2;0;Alle Wohnungen;1;Wohnung;1740.0;2953;584;194
458;2;Stadtkreise;80;Kreis 8;2;0;Alle Wohnungen;1;Wohnung;2031.0;2311;568;113
459;2;Stadtkreise;90;Kreis 9;2;0;Alle Wohnungen;1;Wohnung;1584.0;6972;1819;127
460;2;Stadtkreise;100;Kreis 10;2;0;Alle Wohnungen;1;Wohnung;1517.0;4013;1231;122
461;2;Stadtkreise;110;Kreis 11;2;0;Alle Wohnungen;1;Wohnung;1505.0;7202;2194;203
462;2;Stadtkreise;120;Kreis 12;2;0;Alle Wohnungen;1;Wohnung;1263.0;3068;1387;119
463;2;Stadtkreise;0;Ganze Stadt;3;0;Alle Wohnungen;1;Wohnung;1789.0;74180;23356;1908
464;2;Stadtkreise;10;Kreis 1;3;0;Alle Wohnungen;1;Wohnung;2533.0;836;272;111
465;2;Stadtkreise;20;Kreis 2;3;0;Alle Wohnungen;1;Wohnung;1992.0;5569;1695;165
466;2;Stadtkreise;30;Kreis 3;3;0;Alle Wohnungen;1;Wohnung;1695.0;9951;2768;178
467;2;Stadtkreise;40;Kreis 4;3;0;Alle Wohnungen;1;Wohnung;1771.0;6139;2146;172
468;2;Stadtkreise;50;Kreis 5;3;0;Alle Wohnungen;1;Wohnung;1924.0;2821;1047;87
469;2;Stadtkreise;60;Kreis 6;3;0;Alle Wohnungen;1;Wohnung;1816.0;5413;1585;132
470;2;Stadtkreise;70;Kreis 7;3;0;Alle Wohnungen;1;Wohnung;2174.0;4845;912;227
471;2;Stadtkreise;80;Kreis 8;3;0;Alle Wohnungen;1;Wohnung;2429.0;3026;711;128
472;2;Stadtkreise;90;Kreis 9;3;0;Alle Wohnungen;1;Wohnung;1635.0;10682;3231;171
473;2;Stadtkreise;100;Kreis 10;3;0;Alle Wohnungen;1;Wohnung;1748.0;7084;2356;126
474;2;Stadtkreise;110;Kreis 11;3;0;Alle Wohnungen;1;Wohnung;1733.0;11949;4025;229
475;2;Stadtkreise;120;Kreis 12;3;0;Alle Wohnungen;1;Wohnung;1381.0;5865;2608;182
476;2;Stadtkreise;0;Ganze Stadt;4;0;Alle Wohnungen;1;Wohnung;2185.0;40897;13851;1713
477;2;Stadtkreise;10;Kreis 1;4;0;Alle Wohnungen;1;Wohnung;2901.0;459;160;80
478;2;Stadtkreise;20;Kreis 2;4;0;Alle Wohnungen;1;Wohnung;2371.0;3720;1230;166
479;2;Stadtkreise;30;Kreis 3;4;0;Alle Wohnungen;1;Wohnung;2046.0;4186;1445;185
480;2;Stadtkreise;40;Kreis 4;4;0;Alle Wohnungen;1;Wohnung;2169.0;2196;664;147
481;2;Stadtkreise;50;Kreis 5;4;0;Alle Wohnungen;1;Wohnung;2291.0;1388;485;69
482;2;Stadtkreise;60;Kreis 6;4;0;Alle Wohnungen;1;Wohnung;2357.0;3509;1024;134
483;2;Stadtkreise;70;Kreis 7;4;0;Alle Wohnungen;1;Wohnung;2705.0;3762;609;202
484;2;Stadtkreise;80;Kreis 8;4;0;Alle Wohnungen;1;Wohnung;2872.0;1637;400;104
485;2;Stadtkreise;90;Kreis 9;4;0;Alle Wohnungen;1;Wohnung;2089.0;5327;1814;129
486;2;Stadtkreise;100;Kreis 10;4;0;Alle Wohnungen;1;Wohnung;2167.0;3992;1373;125
487;2;Stadtkreise;110;Kreis 11;4;0;Alle Wohnungen;1;Wohnung;1933.0;7510;3067;227
488;2;Stadtkreise;120;Kreis 12;4;0;Alle Wohnungen;1;Wohnung;1637.0;3211;1580;145
489;2;Stadtkreise;0;Ganze Stadt;2;1;Gemeinnützig;1;Wohnung;1055.0;11106;7184;492
490;2;Stadtkreise;10;Kreis 1;2;1;Gemeinnützig;1;Wohnung;1133.0;302;298;0
491;2;Stadtkreise;20;Kreis 2;2;1;Gemeinnützig;1;Wohnung;1072.0;971;535;52
492;2;Stadtkreise;30;Kreis 3;2;1;Gemeinnützig;1;Wohnung;941.0;1432;853;58
493;2;Stadtkreise;40;Kreis 4;2;1;Gemeinnützig;1;Wohnung;1108.0;1218;858;55
494;2;Stadtkreise;50;Kreis 5;2;1;Gemeinnützig;1;Wohnung;926.0;340;263;18
495;2;Stadtkreise;60;Kreis 6;2;1;Gemeinnützig;1;Wohnung;1132.0;676;329;31
496;2;Stadtkreise;70;Kreis 7;2;1;Gemeinnützig;1;Wohnung;1229.0;302;190;48
497;2;Stadtkreise;80;Kreis 8;2;1;Gemeinnützig;1;Wohnung;1189.0;98;88;0
498;2;Stadtkreise;90;Kreis 9;2;1;Gemeinnützig;1;Wohnung;1094.0;1657;995;46
499;2;Stadtkreise;100;Kreis 10;2;1;Gemeinnützig;1;Wohnung;1030.0;1215;804;50
500;2;Stadtkreise;110;Kreis 11;2;1;Gemeinnützig;1;Wohnung;1071.0;1540;1010;80
501;2;Stadtkreise;120;Kreis 12;2;1;Gemeinnützig;1;Wohnung;1000.0;1355;961;54
502;2;Stadtkreise;0;Ganze Stadt;3;1;Gemeinnützig;1;Wohnung;1181.0;22955;14636;597
503;2;Stadtkreise;10;Kreis 1;3;1;Gemeinnützig;1;Wohnung;1522.0;201;198;0
504;2;Stadtkreise;20;Kreis 2;3;1;Gemeinnützig;1;Wohnung;1240.0;1736;874;61
505;2;Stadtkreise;30;Kreis 3;3;1;Gemeinnützig;1;Wohnung;1088.0;3050;1846;64
506;2;Stadtkreise;40;Kreis 4;3;1;Gemeinnützig;1;Wohnung;1156.0;2066;1513;50
507;2;Stadtkreise;50;Kreis 5;3;1;Gemeinnützig;1;Wohnung;1041.0;917;631;20
508;2;Stadtkreise;60;Kreis 6;3;1;Gemeinnützig;1;Wohnung;1126.0;1939;1142;43
509;2;Stadtkreise;70;Kreis 7;3;1;Gemeinnützig;1;Wohnung;1428.0;516;292;67
510;2;Stadtkreise;80;Kreis 8;3;1;Gemeinnützig;1;Wohnung;1289.0;253;237;0
511;2;Stadtkreise;90;Kreis 9;3;1;Gemeinnützig;1;Wohnung;1161.0;4058;2219;74
512;2;Stadtkreise;100;Kreis 10;3;1;Gemeinnützig;1;Wohnung;1219.0;2128;1435;40
513;2;Stadtkreise;110;Kreis 11;3;1;Gemeinnützig;1;Wohnung;1285.0;3159;2223;90
514;2;Stadtkreise;120;Kreis 12;3;1;Gemeinnützig;1;Wohnung;1149.0;2932;2026;88
515;2;Stadtkreise;0;Ganze Stadt;4;1;Gemeinnützig;1;Wohnung;1517.0;14925;9288;606
516;2;Stadtkreise;10;Kreis 1;4;1;Gemeinnützig;1;Wohnung;1750.0;136;133;0
517;2;Stadtkreise;20;Kreis 2;4;1;Gemeinnützig;1;Wohnung;1542.0;1435;768;51
518;2;Stadtkreise;30;Kreis 3;4;1;Gemeinnützig;1;Wohnung;1475.0;1886;1176;78
519;2;Stadtkreise;40;Kreis 4;4;1;Gemeinnützig;1;Wohnung;1437.0;713;479;61
520;2;Stadtkreise;50;Kreis 5;4;1;Gemeinnützig;1;Wohnung;1405.0;423;296;22
521;2;Stadtkreise;60;Kreis 6;4;1;Gemeinnützig;1;Wohnung;1532.0;1156;713;37
522;2;Stadtkreise;70;Kreis 7;4;1;Gemeinnützig;1;Wohnung;1692.0;421;235;64
523;2;Stadtkreise;80;Kreis 8;4;1;Gemeinnützig;1;Wohnung;1515.0;244;234;0
524;2;Stadtkreise;90;Kreis 9;4;1;Gemeinnützig;1;Wohnung;1557.0;2299;1223;62
525;2;Stadtkreise;100;Kreis 10;4;1;Gemeinnützig;1;Wohnung;1564.0;1340;872;55
526;2;Stadtkreise;110;Kreis 11;4;1;Gemeinnützig;1;Wohnung;1506.0;2768;1853;103
527;2;Stadtkreise;120;Kreis 12;4;1;Gemeinnützig;1;Wohnung;1471.0;2104;1306;73
528;2;Stadtkreise;0;Ganze Stadt;2;2;Nicht gemeinnützig;1;Wohnung;1749.0;35586;6361;1250
529;2;Stadtkreise;10;Kreis 1;2;2;Nicht gemeinnützig;1;Wohnung;2204.0;774;87;106
530;2;Stadtkreise;20;Kreis 2;2;2;Nicht gemeinnützig;1;Wohnung;1836.0;2749;460;104
531;2;Stadtkreise;30;Kreis 3;2;2;Nicht gemeinnützig;1;Wohnung;1640.0;4921;858;124
532;2;Stadtkreise;40;Kreis 4;2;2;Nicht gemeinnützig;1;Wohnung;1814.0;2857;509;162
533;2;Stadtkreise;50;Kreis 5;2;2;Nicht gemeinnützig;1;Wohnung;1954.0;1355;363;78
534;2;Stadtkreise;60;Kreis 6;2;2;Nicht gemeinnützig;1;Wohnung;1733.0;2578;349;76
535;2;Stadtkreise;70;Kreis 7;2;2;Nicht gemeinnützig;1;Wohnung;1798.0;2651;394;146
536;2;Stadtkreise;80;Kreis 8;2;2;Nicht gemeinnützig;1;Wohnung;2068.0;2213;480;113
537;2;Stadtkreise;90;Kreis 9;2;2;Nicht gemeinnützig;1;Wohnung;1737.0;5315;824;81
538;2;Stadtkreise;100;Kreis 10;2;2;Nicht gemeinnützig;1;Wohnung;1729.0;2798;427;72
539;2;Stadtkreise;110;Kreis 11;2;2;Nicht gemeinnützig;1;Wohnung;1623.0;5662;1184;123
540;2;Stadtkreise;120;Kreis 12;2;2;Nicht gemeinnützig;1;Wohnung;1471.0;1713;426;65
541;2;Stadtkreise;0;Ganze Stadt;3;2;Nicht gemeinnützig;1;Wohnung;2062.0;51225;8720;1311
542;2;Stadtkreise;10;Kreis 1;3;2;Nicht gemeinnützig;1;Wohnung;2853.0;635;74;111
543;2;Stadtkreise;20;Kreis 2;3;2;Nicht gemeinnützig;1;Wohnung;2332.0;3833;821;104
544;2;Stadtkreise;30;Kreis 3;3;2;Nicht gemeinnützig;1;Wohnung;1964.0;6901;922;114
545;2;Stadtkreise;40;Kreis 4;3;2;Nicht gemeinnützig;1;Wohnung;2083.0;4073;633;122
546;2;Stadtkreise;50;Kreis 5;3;2;Nicht gemeinnützig;1;Wohnung;2350.0;1904;416;67
547;2;Stadtkreise;60;Kreis 6;3;2;Nicht gemeinnützig;1;Wohnung;2201.0;3474;443;89
548;2;Stadtkreise;70;Kreis 7;3;2;Nicht gemeinnützig;1;Wohnung;2263.0;4329;620;160
549;2;Stadtkreise;80;Kreis 8;3;2;Nicht gemeinnützig;1;Wohnung;2533.0;2773;474;128
550;2;Stadtkreise;90;Kreis 9;3;2;Nicht gemeinnützig;1;Wohnung;1925.0;6624;1012;97
551;2;Stadtkreise;100;Kreis 10;3;2;Nicht gemeinnützig;1;Wohnung;1975.0;4956;921;86
